id,age,monthly_income,collateral_value,loan_amount,state,collateral_debt,verified_restriction,dishonored_checks,expired_debts,banking_debts,commercial_debts,protests,marital_status,informed_restriction,loan_term,monthly_payment,informed_purpose,auto_brand,auto_model,auto_year,pre_approved,form_completed,sent_to_analysis,channel,zip_code,landing_page,landing_page_product,gender,utm_term,education_level
173368,37,3000.0,14000.0,10000.0,PR,,0.0,0,0,0,0,0,,1.0,,416.67,Investimento ,Renault,Kangoo RN/Expression 1.6 16V / 1.6 8V 5p,2006.0,1,0,0,search,8580XXXX,/emprestimos/solicitar,PersonalLoan,female,m,Ensino fundamental completo (antigo 1º grau ou primário e ginasial).
173362,48,4000.0,19000.0,12000.0,MG,0.0,1.0,0,0,1,0,0,,0.0,,500.0,outros recursos,Fiat,Palio 1.0 ECONOMY Fire Flex 8V 4p,2010.0,1,0,0,seo,3940XXXX,/blog/artigos/emprestimos/refinanciamento-de-veiculo-santander,,male,,Educação superior incompleta.
173355,44,3200.0,46000.0,5000.0,SP,,0.0,0,0,0,0,0,,0.0,,279.56,qiuitar algumas contas,GM - Chevrolet,PRISMA Sed. LT 1.0 8V FlexPower 4p,2015.0,1,0,0,display,1860XXXX,/emprestimos/solicitar,PersonalLoan,female,,
173354,28,1625.0,13000.0,11700.0,SP,0.0,0.0,0,0,0,0,0,,0.0,,378.53,REFORMA,VW - VolksWagen,Gol City (Trend) 1.0 Mi Total Flex 8V 2p,2008.0,1,0,0,remarketing,1392XXXX,/,HomePage,female,,"Ensino médio completo (antigo 2º grau, secundário ou colegial)."
173349,49,3000.0,30000.0,21600.0,SP,4886.0,0.0,0,0,0,0,0,,0.0,,900.0,"saldar todas as dívidas,e ficar somente com empréstimo.",Hyundai,HB20 Comf./C.Plus/C.Style 1.0 Flex 12V,2014.0,1,1,0,search,4455XXXX,/emprestimos/solicitar,PersonalLoan,female,c,"Ensino médio completo (antigo 2º grau, secundário ou colegial)."
173347,40,5000.0,21000.0,15000.0,SP,0.0,0.0,0,0,0,0,0,,0.0,,625.0,fluxo de caixa,Honda,Fit LXL 1.4/ 1.4 Flex 8V/16V 5p Mec.,2007.0,1,0,1,direct,1321XXXX,/,HomePage,male,,
173342,22,3000.0,40000.0,20000.0,SC,0.0,0.0,0,0,0,0,0,,0.0,,833.33,reforma,Hyundai,Tucson 2.0 16V Aut.,2011.0,1,0,0,search,8922XXXX,/emprestimos/solicitar,PersonalLoan,male,,"Ensino médio completo (antigo 2º grau, secundário ou colegial)."
173330,19,2800.0,30000.0,20160.0,BA,0.0,0.0,0,0,0,0,0,,0.0,,840.0,Pagar dividas ,GM - Chevrolet,Corsa Hat. Joy 1.0/ 1.0 FlexPower 8V 5p,2007.0,1,0,0,display,4785XXXX,/emprestimos/solicitar,PersonalLoan,male,,"Ensino médio completo (antigo 2º grau, secundário ou colegial)."
173329,43,7500.0,24000.0,5000.0,SP,2500.0,0.0,0,0,0,0,0,,0.0,,487.44,PAGAR DÍVIDAS,GM - Chevrolet,Corsa Hat. Premium 1.4 8V ECONOFLEX 5p,2010.0,1,1,0,search,4286XXXX,/emprestimos/solicitar,PersonalLoan,female,,"Ensino médio completo (antigo 2º grau, secundário ou colegial)."
173324,25,1000.0,7000.0,5000.0,MG,0.0,0.0,0,0,0,0,0,,0.0,,208.33,Pra compra comida,Honda,Accord Sedã EX 3.5 V6 24V,2008.0,1,0,0,search,3986XXXX,/,HomePage,male,,"Ensino médio incompleto (antigo 2º grau, secundário ou colegial)."
173321,24,1000.0,25000.0,6000.0,CE,,0.0,0,0,0,0,0,,0.0,,250.0,pagar dividas,GM - Chevrolet,"Corvette 5.7/ 6.0, 6.2 Targa/Stingray",2014.0,1,0,0,display,6310XXXX,/emprestimos/solicitar,PersonalLoan,female,,
173314,30,1800.0,10000.0,6000.0,PR,4000.0,0.0,0,0,0,0,0,,0.0,,250.0,Fazer capital de giro,Peugeot,206 Moonlight 1.4 Flex 8V 5p,2007.0,1,0,0,search,8790XXXX,/emprestimos/solicitar,PersonalLoan,male,,"Ensino médio completo (antigo 2º grau, secundário ou colegial)."
173307,51,2500.0,8000.0,7200.0,SP,,1.0,0,0,0,1,0,,1.0,,300.0,saude,GM - Chevrolet,Corsa Wind 1.0 MPF/MilleniumI/ EFI 4p,1997.0,1,0,0,display,6411XXXX,/emprestimos/solicitar,PersonalLoan,male,,"Ensino médio completo (antigo 2º grau, secundário ou colegial)."
173304,64,2500.0,29000.0,6000.0,SP,0.0,0.0,0,0,0,0,0,,1.0,,400.0,para pagar dívidas,VW - VolksWagen,CROSSFOX 1.6 Mi Total Flex 8V 5p,2010.0,1,1,1,remarketing,6120XXXX,/emprestimos/garantia-veiculo/solicitar,,male,,Educação superior completa
173303,26,1800.0,10500.0,9450.0,RJ,1150.0,1.0,0,0,0,1,0,,0.0,,305.74,"Pagar as dívidas do carro e pagar o cartão de crédito , pois os juros do parcelamento do cartão é muito elevado",GM - Chevrolet,Celta Life/ LS 1.0 MPFI 8V FlexPower 3p,2010.0,1,1,0,search,2051XXXX,/emprestimo/garantia-veiculo,AutoRefinancing,male,m,Educação superior incompleta.
173301,32,2000.0,26000.0,6000.0,SP,0.0,0.0,0,0,0,0,0,,0.0,,400.0,iniciar comércio ,VW - VolksWagen,Polo SPORTLINE 1.6 Mi Total Flex 8V 5p,2009.0,1,0,0,search,1104XXXX,/emprestimos/solicitar,PersonalLoan,male,,"Ensino médio completo (antigo 2º grau, secundário ou colegial)."
173298,31,2000.0,20000.0,5000.0,PA,,1.0,0,0,0,1,0,,1.0,,161.77,investimento,Ford,Fiesta Sed. 1.6 8V Flex 4p,2009.0,1,0,0,display,6858XXXX,/emprestimos/solicitar,PersonalLoan,female,,"Ensino médio completo (antigo 2º grau, secundário ou colegial)."
173283,24,3500.0,10000.0,5000.0,SP,0.0,0.0,0,0,0,0,0,,0.0,,208.33,Paga dividas,Suzuki,Baleno 1.6 16V Mec.,2000.0,1,0,0,display,9150XXXX,/emprestimos/solicitar,PersonalLoan,female,,Ensino fundamental completo (antigo 1º grau ou primário e ginasial).
173279,57,8000.0,28000.0,20000.0,MG,0.0,0.0,0,0,0,0,0,,0.0,,849.03,pagamentos de contas e diverços...,Fiat,Palio Weekend Adventure LOCKER 1.8 Flex,2009.0,1,1,0,seo,3340XXXX,/emprestimos,,male,,
173277,20,2400.0,11000.0,6000.0,MT,1500.0,1.0,0,0,0,1,0,,1.0,,400.0,Limpar meu nome no SPC,Ford,EcoSport XL 1.6/ 1.6 Flex 8V 5p,2009.0,1,1,0,direct,7858XXXX,/emprestimos/garantia-veiculo/solicitar,,male,,"Ensino médio completo (antigo 2º grau, secundário ou colegial)."
173276,29,11000.0,40000.0,20000.0,SP,,0.0,0,0,0,0,0,,0.0,,1145.0,cobrir cheque especial,Hyundai,Tucson 2.0 16V Aut.,2011.0,1,0,1,search,7193XXXX,/emprestimo/garantia-veiculo,AutoRefinancing,,c,Educação superior completa
173273,40,7500.0,35000.0,31500.0,PA,,0.0,0,0,0,0,0,,0.0,,1312.5,Investimento em negócio ,Hyundai,Tucson 2.7 MPFI 24V 175cv Aut.,2008.0,1,1,1,search,6612XXXX,/emprestimos/garantia-veiculo/solicitar,,male,,Educação superior completa
173263,24,6000.0,28482.0,14000.0,ES,5000.0,0.0,0,0,0,0,0,,,,689.29,others,VW - VolksWagen,Fox 1.0 Mi Total Flex 8V 5p,2013.0,1,1,0,search,2910XXXX,/emprestimos/solicitar,PersonalLoan,,,
173262,66,4250.0,40000.0,5000.0,RJ,0.0,0.0,0,0,0,0,0,,0.0,,208.33,Vários gastos,GM - Chevrolet,ONIX HATCH LT 1.4 8V FlexPower 5p Mec.,2014.0,1,0,0,search,2078XXXX,/emprestimos/solicitar,PersonalLoan,male,,Educação superior incompleta.
173258,50,4000.0,27000.0,10000.0,BA,,1.0,0,0,0,1,0,,1.0,,416.67,,Toyota,Corolla XLi 1.6 16V 110cv Aut.,2006.0,1,0,0,display,4849XXXX,/,HomePage,male,,Educação superior completa
173257,32,2800.0,22000.0,5000.0,SP,0.0,0.0,0,0,0,0,0,,0.0,,279.56,cartao de credito,Nissan,MARCH S 1.0 16V Flex Fuel 5p,2014.0,1,0,0,search,4775XXXX,/emprestimos/solicitar,PersonalLoan,female,,"Ensino médio completo (antigo 2º grau, secundário ou colegial)."
173255,34,1516.0,22000.0,6822.0,SP,4904.0,0.0,0,0,0,0,0,,0.0,,454.8,PAGAR DIVIDAS E FICAR SÓ COM UMA. NO CASO O EMPRESTIMO.,GM - Chevrolet,Classic/ Classic LS 1.0 VHC FlexPower 4p,2013.0,1,0,0,search,1329XXXX,/emprestimos/solicitar,PersonalLoan,male,,Educação superior completa
173254,29,1480.0,10000.0,5000.0,SP,,0.0,0,0,0,0,0,,0.0,,208.33,gastos variados,GM - Chevrolet,Celta Life/ LS 1.0 MPFI 8V FlexPower 3p,2006.0,1,0,0,search,6330XXXX,/,HomePage,male,,Educação superior completa
173252,27,5000.0,30000.0,27000.0,SP,0.0,0.0,0,0,0,0,0,,0.0,,873.54,investimento,Citroën,C3 Tendance 1.5 Flex 8V 5p Mec.,2016.0,1,0,0,,1302XXXX,,,female,,
173247,48,2000.0,14751.0,8000.0,RS,0.0,0.0,0,0,0,0,0,,0.0,,339.61,quitar compromissos e outros,Peugeot,206 SW Presence 1.4/ 1.4 Flex 8V 5p,2006.0,1,0,0,remarketing,9408XXXX,/emprestimos/garantia-imovel/solicitar,HomeRefinancing,male,,"Ensino médio incompleto (antigo 2º grau, secundário ou colegial)."
173244,26,2747.0,17000.0,8000.0,SP,,0.0,0,0,0,0,0,,0.0,,533.33,Antecipação de Dividas ,VW - VolksWagen,Fox City 1.0Mi/ 1.0Mi Total Flex 8V 3p,2007.0,1,0,1,search,1751XXXX,/emprestimos/solicitar,PersonalLoan,male,,Educação superior completa
173230,26,2600.0,32000.0,10000.0,MT,,0.0,0,0,0,0,0,,0.0,,527.78,dar entrada na carta de credito ,VW - VolksWagen,CROSSFOX 1.6 Mi Total Flex 8V 5p,2011.0,1,0,0,search,7845XXXX,/emprestimos/solicitar,PersonalLoan,male,,"Ensino médio completo (antigo 2º grau, secundário ou colegial)."
173228,57,2500.0,23500.0,18000.0,MG,,0.0,0,0,0,0,0,,0.0,,750.0,dividas,GM - Chevrolet,Celta Life/ LS 1.0 MPFI 8V FlexPower 5p,2013.0,1,0,0,display,3518XXXX,/emprestimos/garantia-veiculo/solicitar,,female,,"Ensino médio completo (antigo 2º grau, secundário ou colegial)."
173220,57,5500.0,29500.0,10000.0,SP,0.0,0.0,0,0,0,0,0,,0.0,,559.13,pequena reforma residência ,Fiat,Palio Weekend Adventure LOCKER 1.8 Flex,2009.0,1,0,1,social,1170XXXX,/emprestimos/garantia-veiculo/solicitar,,male,,"Ensino médio incompleto (antigo 2º grau, secundário ou colegial)."
173217,33,1740.0,22800.0,5000.0,SP,,0.0,0,0,0,0,0,,0.0,,208.33,Reforma apartamento,Fiat,Idea HLX 1.8 mpi Flex 8V 5p,2006.0,1,1,0,search,1340XXXX,/emprestimos/garantia-veiculo/solicitar,,female,,"Ensino médio completo (antigo 2º grau, secundário ou colegial)."
173214,25,2200.0,18000.0,14000.0,RO,,0.0,0,0,0,0,0,,0.0,,583.33,Construção,VW - VolksWagen,Fox Plus 1.0Mi/ 1.0Mi Total Flex 8V 4p,2006.0,1,0,0,search,7690XXXX,/emprestimos/garantia-veiculo/solicitar,,male,,"Ensino médio completo (antigo 2º grau, secundário ou colegial)."
173211,61,9800.0,25000.0,20000.0,SC,,0.0,0,0,0,0,0,,0.0,,647.07,para complementar a compra de um carro,Ford,Ka 1.0 SEL TiCVT Flex 5p,2017.0,1,0,0,social,8809XXXX,/emprestimos/solicitar,PersonalLoan,male,,Educação superior completa
173206,47,4500.0,21000.0,18900.0,MG,,0.0,0,0,0,0,0,,0.0,,611.48,COMPRANDO,GM - Chevrolet,Corsa Hat. Maxx 1.4 8V ECONOFLEX 5p,2012.0,1,1,0,display,3940XXXX,/emprestimos/garantia-veiculo/solicitar,,male,,"Ensino médio completo (antigo 2º grau, secundário ou colegial)."
173201,58,4000.0,45000.0,26000.0,MG,0.0,0.0,0,0,0,0,0,,0.0,,841.19,NEGOCIAR DIVIDAS,GM - Chevrolet,SPIN LTZ 1.8 8V Econo.Flex 5p Aut.,2013.0,1,1,1,seo,3840XXXX,/,HomePage,male,,"Ensino médio completo (antigo 2º grau, secundário ou colegial)."
173194,51,6000.0,25000.0,22500.0,SP,,0.0,0,0,0,0,0,,1.0,,727.95,Quitar dívidas,Renault,SANDERO Privilège Hi-Flex 1.6 8V 5p,2012.0,1,1,0,,3143XXXX,,,male,,Educação superior completa
173193,43,3000.0,20000.0,18000.0,RS,0.0,0.0,0,0,0,0,0,,0.0,,825.0,para pagar contas,Renault,SANDERO Expression Hi-Flex 1.6 8V 5p,2011.0,1,1,0,search,9302XXXX,/financiamentos/veiculo/solicitar,AutoFin,female,,Da 5ª à 8ª série do ensino fundamental (antigo 1º grau ou ginásio).
173186,25,3700.0,30000.0,10500.0,MS,0.0,0.0,0,0,0,0,0,,0.0,,445.74,quitação de imovel,GM - Chevrolet,Vectra GT 2.0 MPFI 8V FlexPower Mec.,2011.0,1,0,0,display,7913XXXX,/emprestimos/garantia-veiculo/solicitar,,male,,"Ensino médio completo (antigo 2º grau, secundário ou colegial)."
173185,27,1700.0,15000.0,5000.0,SP,0.0,0.0,0,0,0,0,0,,0.0,,229.17,Pagar dívidas ,GM - Chevrolet,Celta Super 1.0 MPFI 8V FlexPower 5p,2009.0,1,1,1,referral,1320XXXX,/emprestimos/garantia-imovel/solicitar/,,female,,"Ensino médio completo (antigo 2º grau, secundário ou colegial)."
173183,42,6847.0,20000.0,9000.0,PE,,0.0,0,0,0,0,0,,0.0,,877.38,complementar o valor a ser pago,Fiat,UNO VIVACE ITALIA 1.0 EVO F. Flex 8V 5p,2015.0,1,0,0,,5314XXXX,,,male,,Educação superior completa
173181,27,3800.0,38000.0,27360.0,MG,,0.0,0,0,0,0,0,,0.0,,1140.0,Trocar de carro,GM - Chevrolet,Celta Life/ LS 1.0 MPFI 8V FlexPower 5p,2010.0,1,0,0,display,3841XXXX,/emprestimos/garantia-veiculo/solicitar,,male,,"Ensino médio completo (antigo 2º grau, secundário ou colegial)."
173176,22,2500.0,23000.0,6000.0,SP,,0.0,0,0,0,0,0,,0.0,,335.48,PAGAR DIVIDAS,Fiat,Punto  ELX 1.4 Fire Flex 8V 5p,2008.0,1,0,0,referral,3808XXXX,/emprestimos,,male,,"Ensino médio completo (antigo 2º grau, secundário ou colegial)."
173173,30,1400.0,25000.0,8000.0,SP,3000.0,0.0,0,0,0,0,0,,1.0,,288.05,para pagar as dividas ,Ford,Fiesta Sed. 1.6 8V Flex 4p,2005.0,1,0,0,search,1134XXXX,/emprestimos/solicitar,PersonalLoan,male,,"Ensino médio incompleto (antigo 2º grau, secundário ou colegial)."
173169,40,4000.0,18000.0,5000.0,SP,0.0,0.0,0,0,0,0,0,,0.0,,161.77,Pagamento de dívidas,GM - Chevrolet,Corsa Hat. Maxx 1.4 8V ECONOFLEX 5p,2008.0,1,0,0,seo,3917XXXX,/,HomePage,male,,"Até a 4ª série incompleta do ensino fundamental (antigo 1º grau ou primário), que se tenha alfabetizado sem ter freqüentado escola regular."
173166,63,3600.0,14000.0,6000.0,SP,0.0,0.0,0,0,0,0,0,,0.0,,316.67,quitar dividas,Renault,Clio RN/Alizé/Expr./1.0 Hi-Power 16V 5p,2005.0,1,1,1,,2721XXXX,,,male,,Educação superior incompleta.
173165,33,8000.0,30000.0,12000.0,SP,,0.0,0,0,0,0,0,,0.0,,800.0,Pagar dividas,VW - VolksWagen,Fox Comfortline I Motion 1.6 Flex 8V 5p,2015.0,1,1,0,search,3978XXXX,/emprestimos/solicitar,PersonalLoan,female,,"Ensino médio completo (antigo 2º grau, secundário ou colegial)."
173162,33,5100.0,25000.0,22500.0,SP,,0.0,0,0,0,0,0,,0.0,,937.5,compra um carro,Fiat,Punto ESSENCE 1.6 Flex 16V 5p,2012.0,1,0,0,,6333XXXX,,,female,,"Ensino médio completo (antigo 2º grau, secundário ou colegial)."
173159,19,2500.0,12000.0,10000.0,MG,,0.0,0,0,0,0,0,,0.0,,666.67,Investimento,Honda,Accord Sedã EX 3.5 V6 24V,2015.0,1,0,0,search,3840XXXX,/emprestimos/solicitar,PersonalLoan,male,,
173151,51,5000.0,20000.0,5000.0,SP,0.0,0.0,0,0,0,0,0,,0.0,,208.33,viagem de urgencia,Renault,SANDERO Expression Hi-Flex 1.0 16V 5p,2010.0,1,0,1,search,7062XXXX,/emprestimos/garantia-veiculo/solicitar,,male,,Educação superior completa
173150,26,8000.0,23271.0,10000.0,SP,0.0,0.0,0,0,0,0,0,,0.0,,1083.33,Casamento,Peugeot,207 X-Line 1.4 Flex 8V 5p,2012.0,1,0,1,affiliates,1107XXXX,/emprestimos/garantia-veiculo/solicitar,,male,,
173149,32,8782.0,24000.0,21000.0,SP,,0.0,0,0,0,0,0,,0.0,,1174.17,Renegociar dívidas,GM - Chevrolet,Corsa Hat. Maxx 1.4 8V ECONOFLEX 5p,2009.0,1,0,1,search,9195XXXX,/emprestimos/solicitar,PersonalLoan,female,,Educação superior completa
173148,37,4500.0,25000.0,22500.0,SP,,0.0,0,0,0,0,0,,0.0,,764.0,levantar dinheiro pra outro negocio ,Fiat,Idea ELX 1.8 mpi Flex 8V 5p,2010.0,1,0,1,search,1481XXXX,/emprestimo/garantia-veiculo,AutoRefinancing,,c,Ensino fundamental completo (antigo 1º grau ou primário e ginasial).
173143,47,2500.0,15000.0,13500.0,SP,0.0,0.0,0,0,0,0,0,,0.0,,436.77,"acertar dividas com cartão de crédito, juros muito alto.",Audi,A3 1.8 5p Mec.,2001.0,1,0,1,seo,4514XXXX,/blog/artigos/emprestimos/refinanciamento-de-veiculos-itau,,female,,Educação superior completa
173137,23,2000.0,14000.0,12000.0,SP,0.0,0.0,0,0,0,0,0,,1.0,,388.24,Investimento em minha empresa e pagamento de dívidas,GM - Chevrolet,Celta Spirit 1.0 MPFI 8V FlexPower 3p,2008.0,1,0,0,search,9176XXXX,/,HomePage,male,,"Ensino médio completo (antigo 2º grau, secundário ou colegial)."
173122,40,10000.0,30000.0,27000.0,SP,,0.0,0,0,0,0,0,,0.0,,873.54,Para fins de saúde.,Ford,Fusion SEL 2.3 16V  162cv Aut.,2008.0,1,1,1,display,8260XXXX,/,HomePage,male,,Educação superior completa
173076,28,1670.0,16000.0,7000.0,SP,0.0,0.0,0,0,0,0,0,,0.0,,226.47,Pagamento de dividas,Ford,Fiesta Sed. 1.6 8V Flex 4p,2007.0,1,1,0,seo,9405XXXX,/,HomePage,female,,Educação superior completa
173075,52,2700.0,17000.0,15300.0,SP,0.0,0.0,0,0,0,0,0,,0.0,,807.5,Quitar divida,GM - Chevrolet,Corsa Sed Class.Life 1.0/1.0 FlexPower,2009.0,1,0,0,affiliates,4814XXXX,/emprestimos/garantia-veiculo/solicitar,,male,,"Ensino médio incompleto (antigo 2º grau, secundário ou colegial)."
173071,33,2400.0,18000.0,16200.0,RJ,1000.0,1.0,0,0,1,1,0,,1.0,,675.0,comprar o primeiro carro,Fiat,Palio 1.0 ECONOMY Fire Flex 8V 4p,2010.0,1,0,0,display,2594XXXX,/emprestimos/garantia-veiculo/solicitar,,male,,"Ensino médio completo (antigo 2º grau, secundário ou colegial)."
173068,20,3000.0,21000.0,15000.0,SP,0.0,0.0,0,0,0,0,0,,0.0,,687.5,Terminar a minha lanchonete ,Ford,Fiesta 1.0 8V Flex/Class 1.0 8V Flex 5p,2013.0,1,1,0,search,1356XXXX,/emprestimos/garantia-veiculo/solicitar,,male,,Ensino fundamental completo (antigo 1º grau ou primário e ginasial).
173067,36,2171.0,6000.0,5400.0,MG,,0.0,0,0,0,0,0,,0.0,,533.0,PAGAMENTO DÍVIDAS ,VW - VolksWagen,VOYAGE 1.0/1.0 City Mi Total Flex 8V 4p,2012.0,1,1,1,display,3314XXXX,/emprestimos/garantia-veiculo/solicitar,,,,Educação superior completa
173064,18,880.0,10000.0,5000.0,SP,0.0,0.0,0,0,0,0,0,,0.0,,263.89,para reforma da minha casa,Renault,Clio Authentique 1.0 8V 3p,2005.0,1,0,0,direct,9837XXXX,/emprestimos/garantia-veiculo/solicitar,,female,,
173063,33,6000.0,8300.0,7470.0,SP,0.0,0.0,0,0,0,0,0,,0.0,,311.25,INVESTIMENTO EM NEGOCIO DE SALGADOS,Fiat,Palio Weekend 1.6 mpi 16V 4p,1998.0,1,0,0,display,6655XXXX,/emprestimos/solicitar,PersonalLoan,female,,
